team_context_id,drive_id,game_id,possession_team,defensive_team,season,week,play_count,play_ids_json
00000000-0000-0000-0000-000000000001,2023090700_KC_d1,2023090700,DET,KC,2023,1,8,"[""2023090700_101"", ""2023090700_361"", ""2023090700_436"", ""2023090700_461"", ""2023090700_530"", ""2023090700_621"", ""2023090700_1069"", ""2023090700_1154""]"
00000000-0000-0000-0000-000000000001,2023090700_KC_d2,2023090700,DET,KC,2023,1,8,"[""2023090700_1201"", ""2023090700_1300"", ""2023090700_1494"", ""2023090700_1812"", ""2023090700_1837"", ""2023090700_1869"", ""2023090700_1940"", ""2023090700_2186""]"
00000000-0000-0000-0000-000000000001,2023090700_KC_d3,2023090700,DET,KC,2023,1,9,"[""2023090700_2261"", ""2023090700_2613"", ""2023090700_2638"", ""2023090700_3032"", ""2023090700_3089"", ""2023090700_3114"", ""2023090700_3461"", ""2023090700_3486"", ""2023090700_3566""]"
00000000-0000-0000-0000-000000000001,2023091705_KC_d1,2023091705,JAX,KC,2023,2,8,"[""2023091705_103"", ""2023091705_175"", ""2023091705_391"", ""2023091705_480"", ""2023091705_859"", ""2023091705_906"", ""2023091705_997"", ""2023091705_1027""]"
00000000-0000-0000-0000-000000000001,2023091705_KC_d2,2023091705,JAX,KC,2023,2,8,"[""2023091705_1174"", ""2023091705_1657"", ""2023091705_1680"", ""2023091705_2132"", ""2023091705_2157"", ""2023091705_2200"", ""2023091705_2230"", ""2023091705_2611""]"
00000000-0000-0000-0000-000000000001,2023091705_KC_d3,2023091705,JAX,KC,2023,2,9,"[""2023091705_2636"", ""2023091705_2953"", ""2023091705_3296"", ""2023091705_3867"", ""2023091705_3890"", ""2023091705_3928"", ""2023091705_4032"", ""2023091705_4064"", ""2023091705_4117""]"
00000000-0000-0000-0000-000000000001,2023092411_KC_d1,2023092411,CHI,KC,2023,3,8,"[""2023092411_631"", ""2023092411_1837"", ""2023092411_1860"", ""2023092411_2013"", ""2023092411_2043"", ""2023092411_2395"", ""2023092411_2863"", ""2023092411_2886""]"
00000000-0000-0000-0000-000000000001,2023092411_KC_d2,2023092411,CHI,KC,2023,3,5,"[""2023092411_3643"", ""2023092411_3717"", ""2023092411_3742"", ""2023092411_3797"", ""2023092411_3820""]"
00000000-0000-0000-0000-000000000001,2023100113_KC_d1,2023100113,NYJ,KC,2023,4,8,"[""2023100113_298"", ""2023100113_323"", ""2023100113_580"", ""2023100113_627"", ""2023100113_905"", ""2023100113_930"", ""2023100113_975"", ""2023100113_1020""]"
00000000-0000-0000-0000-000000000001,2023100113_KC_d2,2023100113,NYJ,KC,2023,4,8,"[""2023100113_1211"", ""2023100113_1236"", ""2023100113_1261"", ""2023100113_1316"", ""2023100113_1476"", ""2023100113_1521"", ""2023100113_1618"", ""2023100113_2000""]"
00000000-0000-0000-0000-000000000001,2023100113_KC_d3,2023100113,NYJ,KC,2023,4,8,"[""2023100113_2025"", ""2023100113_2077"", ""2023100113_2102"", ""2023100113_2239"", ""2023100113_2332"", ""2023100113_2357"", ""2023100113_2451"", ""2023100113_2476""]"
00000000-0000-0000-0000-000000000001,2023100113_KC_d4,2023100113,NYJ,KC,2023,4,6,"[""2023100113_2689"", ""2023100113_2957"", ""2023100113_2980"", ""2023100113_3497"", ""2023100113_3522"", ""2023100113_3547""]"
00000000-0000-0000-0000-000000000001,2023100810_KC_d1,2023100810,MIN,KC,2023,5,8,"[""2023100810_55"", ""2023100810_411"", ""2023100810_467"", ""2023100810_539"", ""2023100810_575"", ""2023100810_678"", ""2023100810_1076"", ""2023100810_1192""]"
00000000-0000-0000-0000-000000000001,2023100810_KC_d2,2023100810,MIN,KC,2023,5,8,"[""2023100810_1343"", ""2023100810_1368"", ""2023100810_1584"", ""2023100810_1637"", ""2023100810_1753"", ""2023100810_1817"", ""2023100810_2563"", ""2023100810_2608""]"
00000000-0000-0000-0000-000000000001,2023100810_KC_d3,2023100810,MIN,KC,2023,5,8,"[""2023100810_3121"", ""2023100810_3146"", ""2023100810_3171"", ""2023100810_3283"", ""2023100810_3330"", ""2023100810_3353"", ""2023100810_3378"", ""2023100810_3401""]"
00000000-0000-0000-0000-000000000001,2023100810_KC_d4,2023100810,MIN,KC,2023,5,8,"[""2023100810_3707"", ""2023100810_3733"", ""2023100810_3758"", ""2023100810_3783"", ""2023100810_3830"", ""2023100810_3855"", ""2023100810_4133"", ""2023100810_4156""]"
00000000-0000-0000-0000-000000000001,2023100810_KC_d5,2023100810,MIN,KC,2023,5,3,"[""2023100810_4181"", ""2023100810_4204"", ""2023100810_4252""]"
00000000-0000-0000-0000-000000000001,2023101200_KC_d1,2023101200,DEN,KC,2023,6,8,"[""2023101200_100"", ""2023101200_218"", ""2023101200_562"", ""2023101200_1277"", ""2023101200_1918"", ""2023101200_1941"", ""2023101200_2602"", ""2023101200_2994""]"
00000000-0000-0000-0000-000000000001,2023101200_KC_d2,2023101200,DEN,KC,2023,6,6,"[""2023101200_3050"", ""2023101200_3324"", ""2023101200_3425"", ""2023101200_3484"", ""2023101200_3837"", ""2023101200_3860""]"
00000000-0000-0000-0000-000000000001,2023102209_KC_d1,2023102209,LAC,KC,2023,7,8,"[""2023102209_55"", ""2023102209_613"", ""2023102209_687"", ""2023102209_1084"", ""2023102209_1131"", ""2023102209_1375"", ""2023102209_1400"", ""2023102209_1445""]"
00000000-0000-0000-0000-000000000001,2023102209_KC_d2,2023102209,LAC,KC,2023,7,8,"[""2023102209_1658"", ""2023102209_1688"", ""2023102209_1731"", ""2023102209_2423"", ""2023102209_2519"", ""2023102209_2577"", ""2023102209_3123"", ""2023102209_3148""]"
00000000-0000-0000-0000-000000000001,2023102209_KC_d3,2023102209,LAC,KC,2023,7,6,"[""2023102209_3427"", ""2023102209_3770"", ""2023102209_3793"", ""2023102209_3861"", ""2023102209_3909"", ""2023102209_4016""]"
00000000-0000-0000-0000-000000000001,2023102911_KC_d1,2023102911,DEN,KC,2023,8,8,"[""2023102911_889"", ""2023102911_1082"", ""2023102911_1144"", ""2023102911_1344"", ""2023102911_1655"", ""2023102911_1678"", ""2023102911_2088"", ""2023102911_2123""]"
00000000-0000-0000-0000-000000000001,2023102911_KC_d2,2023102911,DEN,KC,2023,8,3,"[""2023102911_2291"", ""2023102911_2321"", ""2023102911_3378""]"
00000000-0000-0000-0000-000000000001,2023110500_KC_d1,2023110500,MIA,KC,2023,9,8,"[""2023110500_314"", ""2023110500_723"", ""2023110500_748"", ""2023110500_1102"", ""2023110500_1125"", ""2023110500_1313"", ""2023110500_1370"", ""2023110500_1907""]"
00000000-0000-0000-0000-000000000001,2023110500_KC_d2,2023110500,MIA,KC,2023,9,8,"[""2023110500_1932"", ""2023110500_1964"", ""2023110500_2075"", ""2023110500_2100"", ""2023110500_2130"", ""2023110500_2313"", ""2023110500_2566"", ""2023110500_2598""]"
00000000-0000-0000-0000-000000000001,2023110500_KC_d3,2023110500,MIA,KC,2023,9,8,"[""2023110500_2645"", ""2023110500_2692"", ""2023110500_2783"", ""2023110500_3092"", ""2023110500_3115"", ""2023110500_3536"", ""2023110500_3564"", ""2023110500_3596""]"
