team_context_id,team_name,team_abbr,game_id,season,week,observed_on,home_team_abbr,away_team_abbr,home_score,away_score,play_count
00000000-0000-0000-0000-000000000001,Kansas City Chiefs,KC,2023090700,2023,1,2023-09-07,KC,DET,20,14,25
00000000-0000-0000-0000-000000000001,Kansas City Chiefs,KC,2023091705,2023,2,2023-09-17,JAX,KC,9,17,25
00000000-0000-0000-0000-000000000001,Kansas City Chiefs,KC,2023092411,2023,3,2023-09-24,KC,CHI,41,3,13
00000000-0000-0000-0000-000000000001,Kansas City Chiefs,KC,2023100113,2023,4,2023-10-01,NYJ,KC,20,23,30
00000000-0000-0000-0000-000000000001,Kansas City Chiefs,KC,2023100810,2023,5,2023-10-08,MIN,KC,20,27,35
00000000-0000-0000-0000-000000000001,Kansas City Chiefs,KC,2023101200,2023,6,2023-10-12,KC,DEN,19,8,14
00000000-0000-0000-0000-000000000001,Kansas City Chiefs,KC,2023102209,2023,7,2023-10-22,KC,LAC,31,17,22
00000000-0000-0000-0000-000000000001,Kansas City Chiefs,KC,2023102911,2023,8,2023-10-29,DEN,KC,14,9,11
00000000-0000-0000-0000-000000000001,Kansas City Chiefs,KC,2023110500,2023,9,2023-11-05,KC,MIA,21,14,28
00000000-0000-0000-0000-000000000001,Kansas City Chiefs,KC,2023112000,2023,11,2023-11-20,KC,PHI,17,14,13
00000000-0000-0000-0000-000000000001,Kansas City Chiefs,KC,2023112608,2023,12,2023-11-26,LV,KC,17,31,24
00000000-0000-0000-0000-000000000001,Kansas City Chiefs,KC,2023120310,2023,13,2023-12-03,GB,KC,24,19,25
00000000-0000-0000-0000-000000000001,Kansas City Chiefs,KC,2023121009,2023,14,2023-12-10,KC,BUF,17,17,27
00000000-0000-0000-0000-000000000001,Kansas City Chiefs,KC,2023121711,2023,15,2023-12-17,NE,KC,17,27,23
00000000-0000-0000-0000-000000000001,Kansas City Chiefs,KC,2023122500,2023,16,2023-12-25,KC,LV,7,20,16
00000000-0000-0000-0000-000000000001,Kansas City Chiefs,KC,2023123113,2023,17,2023-12-31,KC,CIN,25,17,26
00000000-0000-0000-0000-000000000001,Kansas City Chiefs,KC,2024010709,2023,18,2024-01-07,LAC,KC,12,13,36
00000000-0000-0000-0000-000000000002,Seattle Seahawks,SEA,2023091012,2023,1,2023-09-10,SEA,LA,13,24,33
00000000-0000-0000-0000-000000000002,Seattle Seahawks,SEA,2023091703,2023,2,2023-09-17,DET,SEA,28,31,31
00000000-0000-0000-0000-000000000002,Seattle Seahawks,SEA,2023092409,2023,3,2023-09-24,SEA,CAR,37,20,44
00000000-0000-0000-0000-000000000002,Seattle Seahawks,SEA,2023100200,2023,4,2023-10-02,NYG,SEA,3,24,25
00000000-0000-0000-0000-000000000002,Seattle Seahawks,SEA,2023101503,2023,6,2023-10-15,CIN,SEA,17,13,31
00000000-0000-0000-0000-000000000002,Seattle Seahawks,SEA,2023102207,2023,7,2023-10-22,SEA,ARI,20,10,26
00000000-0000-0000-0000-000000000002,Seattle Seahawks,SEA,2023102909,2023,8,2023-10-29,SEA,CLE,24,20,22
00000000-0000-0000-0000-000000000002,Seattle Seahawks,SEA,2023110502,2023,9,2023-11-05,BAL,SEA,37,3,24
00000000-0000-0000-0000-000000000002,Seattle Seahawks,SEA,2023111210,2023,10,2023-11-12,SEA,WAS,26,19,35
00000000-0000-0000-0000-000000000002,Seattle Seahawks,SEA,2023111910,2023,11,2023-11-19,LA,SEA,14,16,21
00000000-0000-0000-0000-000000000002,Seattle Seahawks,SEA,2023112302,2023,12,2023-11-23,SEA,SF,13,31,24
00000000-0000-0000-0000-000000000002,Seattle Seahawks,SEA,2023113000,2023,13,2023-11-30,DAL,SEA,38,35,32
00000000-0000-0000-0000-000000000002,Seattle Seahawks,SEA,2023121008,2023,14,2023-12-10,SF,SEA,28,16,24
00000000-0000-0000-0000-000000000002,Seattle Seahawks,SEA,2023121801,2023,15,2023-12-18,SEA,PHI,20,17,21
00000000-0000-0000-0000-000000000002,Seattle Seahawks,SEA,2023122407,2023,16,2023-12-24,TEN,SEA,17,20,17
00000000-0000-0000-0000-000000000002,Seattle Seahawks,SEA,2023123111,2023,17,2023-12-31,SEA,PIT,23,30,16
00000000-0000-0000-0000-000000000002,Seattle Seahawks,SEA,2024010712,2023,18,2024-01-07,ARI,SEA,20,21,22
