team_context_id,team_name,team_abbr,play_id,game_id,raw_play_id,season,week,game_date_iso,offense_team_abbr,defense_team_abbr,dci,dis,explosive_gain_yards,expected_points_added,pass_result,play_description,dataset_version,model_version
00000000-0000-0000-0000-000000000001,Kansas City Chiefs,KC,2023090700_101,2023090700,101,2023,1,2023-09-07,DET,KC,0.228356,0.026873,,-2.145443,I,(14:25) (Shotgun) J.Goff pass incomplete deep right to J.Reynolds.,bigdatabowl-2023-fixture-v1,dci-dis-supervised-v1
00000000-0000-0000-0000-000000000001,Kansas City Chiefs,KC,2023090700_361,2023090700,361,2023,1,2023-09-07,DET,KC,0.349237,0.100935,,-0.862062,C,(10:06) (Shotgun) J.Goff pass short left to M.Jones to DET 17 for 5 yards (J.Reid) [F.Anudike-Uzomah].,bigdatabowl-2023-fixture-v1,dci-dis-supervised-v1
00000000-0000-0000-0000-000000000001,Kansas City Chiefs,KC,2023090700_436,2023090700,436,2023,1,2023-09-07,DET,KC,0.284411,0.415111,,1.613927,C,(8:09) (Shotgun) J.Goff pass short left to A.St. Brown to DET 34 for 13 yards (J.Reid).,bigdatabowl-2023-fixture-v1,dci-dis-supervised-v1
00000000-0000-0000-0000-000000000001,Kansas City Chiefs,KC,2023090700_461,2023090700,461,2023,1,2023-09-07,DET,KC,0.323568,0.189877,21,1.345633,C,(7:30) J.Goff pass short right to J.Reynolds to KC 45 for 21 yards (T.McDuffie).,bigdatabowl-2023-fixture-v1,dci-dis-supervised-v1
00000000-0000-0000-0000-000000000001,Kansas City Chiefs,KC,2023090700_530,2023090700,530,2023,1,2023-09-07,DET,KC,0.275583,0.561814,,0.031384,C,(5:36) (Shotgun) J.Goff pass short right to A.St. Brown to KC 19 for 5 yards (L.Chenal; L.Sneed).,bigdatabowl-2023-fixture-v1,dci-dis-supervised-v1
00000000-0000-0000-0000-000000000001,Kansas City Chiefs,KC,2023090700_621,2023090700,621,2023,1,2023-09-07,DET,KC,0.398319,0.678919,,2.850031,C,"(2:52) (Shotgun) J.Goff pass short right to A.St. Brown for 9 yards, TOUCHDOWN.",bigdatabowl-2023-fixture-v1,dci-dis-supervised-v1
00000000-0000-0000-0000-000000000001,Kansas City Chiefs,KC,2023090700_1069,2023090700,1069,2023,1,2023-09-07,DET,KC,0.195627,0.525887,,0.566854,C,"(11:50) J.Goff pass short middle to B.Wright to DET 34 for 9 yards (N.Bolton, W.Gay).",bigdatabowl-2023-fixture-v1,dci-dis-supervised-v1
00000000-0000-0000-0000-000000000001,Kansas City Chiefs,KC,2023090700_1154,2023090700,1154,2023,1,2023-09-07,DET,KC,0.296219,0.341953,21,1.896374,C,(10:11) J.Goff pass deep left to A.St. Brown to KC 40 for 21 yards (J.Reid).,bigdatabowl-2023-fixture-v1,dci-dis-supervised-v1
00000000-0000-0000-0000-000000000001,Kansas City Chiefs,KC,2023090700_1201,2023090700,1201,2023,1,2023-09-07,DET,KC,0.306819,0.469644,,2.009683,C,"(8:49) (Shotgun) J.Goff pass short left to S.LaPorta to KC 27 for 14 yards (M.Danna, B.Cook).",bigdatabowl-2023-fixture-v1,dci-dis-supervised-v1
00000000-0000-0000-0000-000000000001,Kansas City Chiefs,KC,2023090700_1300,2023090700,1300,2023,1,2023-09-07,DET,KC,0.572728,0.116365,,0.504394,C,(6:01) (Shotgun) J.Goff pass short left to J.Gibbs pushed ob at KC 17 for 10 yards (N.Bolton).,bigdatabowl-2023-fixture-v1,dci-dis-supervised-v1
